seed,scenario,tick,time_s,position_arrived,status,contained_exact,contained_tol,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,lower_0,lower_1,lower_2,lower_3,lower_4,lower_5,upper_0,upper_1,upper_2,upper_3,upper_4,upper_5
70003,S1,33,0.66,0,VALID_NUMERICAL_BOX,1,1,-0.019036663218413477,2.0235838699413176,-0.012363217947992673,0.06443728037927846,0.0,0.0,-0.10088608024824118,1.9296865533298864,-1.3471235173583813,-1.4160871936458068,-0.0008989911120126115,-0.002912660045260113,0.09168404271788548,2.136848133386391,1.3468357720763477,1.5367791622617801,0.0010560331715431864,0.00021944386291837596
70003,S1,34,0.68,0,VALID_NUMERICAL_BOX,1,1,-0.01928392757737333,2.024872615548903,-0.012356794284658992,0.06594668678867835,0.0,0.0,-0.12782855059653664,1.9013648094538025,-1.3849303087245772,-1.4562472902563701,-0.0009572443139188742,-0.0016461372980134635,0.11862075816054027,2.167583716634794,1.3846115083956747,1.5800390781227698,0.0010604220498026142,0.0002194438639212886
70003,S1,35,0.7000000000000001,0,VALID_NUMERICAL_BOX,1,1,-0.01953106346306651,2.0261915492846767,-0.012350362779819164,0.06743068201674796,0.0,0.0,-0.1555271567721837,1.8722398636454758,-1.4227379421514577,-1.496431754855721,-0.0009901670608802083,-0.0016461372990151095,0.1463129883296093,2.1991844982004487,1.4223987409534513,1.6232746268997942,0.001064810928082105,0.00021944386492293475
70003,S1,36,0.72,0,VALID_NUMERICAL_BOX,1,1,-0.019778070718662895,2.027540162925012,-0.012343923637495171,0.06888866736681504,0.0,0.0,-0.18398191561639682,1.8423112285451297,-1.460546416775367,-1.536641197665824,-0.0010230898078615797,-0.0016461373000167556,0.17476096314986228,2.2316499907416762,1.460192458446301,1.666485198374125,0.0004309543984724459,0.0002194438659245809
70003,S1,37,0.74,0,VALID_NUMERICAL_BOX,1,1,-0.0200249491914128,2.028917936272348,-0.012337477065762943,0.07032005475128633,0.0,0.0,-0.21319284395311736,1.8115784045885484,-1.4982295665845782,-1.5768762093826565,-0.001056012554862971,-0.0016461373010184016,0.2039648123200015,2.264979694712424,1.4979926586152865,1.7096701923176207,0.00043534327679199355,0.00021944386692622703
70003,S1,38,0.76,0,VALID_NUMERICAL_BOX,1,1,-0.020271698732728057,2.030324337367374,-0.012331023276661019,0.07172426694121227,0.0,0.0,-0.24315743528605208,1.780040880397596,-1.5359135725735984,-1.617137395378692,-0.001088935301884428,-0.0016461373020200476,0.23392466549355037,2.2991730985620755,1.5357993391529836,1.752829018732813,0.000439732155131607,0.00021944386792787317
70003,S1,39,0.78,0,VALID_NUMERICAL_BOX,1,1,-0.020518319198261276,2.0317588227061982,-0.012324562486097595,0.07310073781063614,0.0,0.0,-0.2738757067387979,1.747698132486688,-1.5735984342578995,-1.6574253353968074,-0.0011218580489259508,-0.0016461373030216937,0.2646406522778839,2.334229678940066,1.5736124977050856,1.7959610980888947,0.00044412103349128636,0.0002194438689295193
70003,S1,40,0.8,1,VALID_NUMERICAL_BOX,1,1,-0.02076481044798323,2.033220837462411,-0.012318094913756029,0.07444891257559291,0.0,0.0,-0.03321608569107619,2.0287946524258076,-1.6112841511500742,-1.6977405984812703,-0.0011547807959875396,-0.0016461373040233397,0.006783914308923812,2.0687946524258076,1.6114321318720422,1.8390658615535258,0.0004485099118710315,0.00021944386993116545
70003,S1,41,0.8200000000000001,0,VALID_NUMERICAL_BOX,1,1,-0.02101117234625835,2.034709815713923,-0.012311620782998826,0.0757682480276273,0.0,0.0,-0.06544176871514311,1.9948398404530767,-1.648970722760126,-1.738083742750213,-0.001187703543069194,-0.0016461373050249857,0.039012556947430096,2.105575969659984,1.64925823921073,1.882142751220359,0.0004528987902708425,0.0002194438709328116
70003,S1,42,0.84,0,VALID_NUMERICAL_BOX,1,1,-0.021257404761918328,2.0362251806744753,-0.012305140320770177,0.0770582127617072,0.0,0.0,-0.09842118317144405,1.960078165594929,-1.6866581485957624,-1.778455315172474,-0.0012206262901709143,-0.0016461373060266318,0.07199772173274313,2.1432188246875343,1.6870908172361583,1.9251912203321944,0.0004572876686907194,0.00021944387193445773
